data,block_timestamp
"b'wednesday, april/06/2016 - signal for today is 100 % btc / 0 % usd'",2016-04-06 19:30:38
"b'thursday, april/07/2016 - signal for today is 100 % btc / 0 % usd'",2016-04-07 19:34:50
"b'friday, april/08/2016 - signal for today is 100 % btc / 0 % usd'",2016-04-08 19:36:40
"b'saturday, april/09/2016 - signal for today is 100 % btc / 0 % usd'",2016-04-09 19:46:32
"b'sunday, april/10/2016 - signal for today is 100 % btc / 0 % usd'",2016-04-10 19:34:05
"b'monday, april/11/2016 - signal for today is 100 % btc / 0 % usd'",2016-04-11 19:46:22
"b'monday, april/11/2016 - signal for today is 100 % btc / 0 % usd'",2016-04-11 21:06:52
"b'monday, april/11/2016 - signal for today is 100 % btc / 0 % usd'",2016-04-11 21:06:52
"b'tuesday, april/12/2016 - signal for today is 100 % btc / 0 % usd'",2016-04-12 19:31:46
"b'wednesday, april/13/2016 - signal for today is 100 % btc / 0 % usd'",2016-04-13 19:30:24
"b'thursday, april/14/2016 - signal for today is 100 % btc / 0 % usd'",2016-04-14 19:32:02
"b'friday, april/15/2016 - signal for today is 100 % btc / 0 % usd'",2016-04-15 19:30:45
"b'saturday, april/16/2016 - signal for today is 100 % btc / 0 % usd'",2016-04-16 19:39:48
